#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
49,2,20.308804
48,3,20.313236
47,4,20.318862
43,8,20.330133
46,5,20.337501
45,6,20.353618
49,2,20.356096
38,13,20.367096
42,9,20.393101
43,8,20.401547
40,11,20.414179
48,3,20.418692
42,9,20.430608
45,6,20.439006
48,3,20.442425
38,13,20.45868
49,2,20.462142
47,4,20.468366
49,2,20.471833
44,7,20.482103
50,1,20.484589
49,2,20.487688
48,3,20.50262
50,1,20.503921
48,3,20.506801
40,11,20.51682
50,1,20.518591
44,7,20.526783
48,3,20.53115
43,8,20.540871
48,3,20.545295
45,6,20.55387
44,7,20.583244
33,18,20.599098
47,4,20.604403
49,2,20.607422
43,8,20.617054
48,3,20.621193
48,3,20.625107
46,5,20.631356
48,3,20.635533
45,6,20.649961
50,1,20.651767
46,5,20.65691
41,10,20.66577
41,10,20.67582
49,2,20.678447
50,1,20.68034
43,8,20.689158
49,2,20.692068
42,9,20.703289
43,8,20.714597
47,4,20.720446
47,4,20.726159
47,4,20.732147
50,1,20.734317
44,7,20.766819
48,3,20.77004
48,3,20.773106
49,2,20.775243
45,6,20.780799
37,14,20.805275
50,1,20.80657
42,9,20.814292
48,3,20.818207
43,8,20.827325
46,5,20.834189
50,1,20.836297
40,11,20.845905
46,5,20.850652
44,7,20.858857
46,5,20.864545
39,12,20.877932
47,4,20.883019
48,3,20.887167
44,7,20.895804
39,12,20.906206
43,8,20.935032
45,6,20.940368
50,1,20.94202
47,4,20.946042
43,8,20.954207
48,3,20.958189
46,5,20.963185
48,3,20.96631
48,3,20.969305
46,5,20.97463
46,5,20.980185
48,3,20.983814
42,9,20.994512
45,6,21.00194
43,8,21.012042
38,13,21.027978
46,5,21.034664
41,10,21.053061
50,1,21.055593
49,2,21.058346
42,9,21.065671
50,1,21.066968
49,2,21.069517
47,4,21.073992
39,12,21.107996
46,5,21.113378
50,1,21.114954
39,12,21.127945
41,10,21.140787
43,8,21.149611
48,3,21.153354
47,4,21.158284
49,2,21.161013
49,2,21.163564
50,1,21.165247
46,5,21.171152
46,5,21.177413
46,5,21.184343
44,7,21.198204
32,19,21.220433
47,4,21.225481
48,3,21.228921
40,11,21.239999
44,7,21.247195
48,3,21.250896
45,6,21.25827
42,9,21.287713
49,2,21.290133
49,2,21.292868
44,7,21.301614
43,8,21.313525
46,5,21.32147
43,8,21.333011
48,3,21.342174
44,7,21.348026
46,5,21.35316
47,4,21.358594
43,8,21.367764
38,13,21.38275
48,3,21.387338
48,3,21.392138
47,4,21.398866
50,1,21.401202
42,9,21.412339
43,8,21.418906
49,2,21.421019
46,5,21.425298
47,4,21.429192
49,2,21.431738
40,11,21.462037
37,14,21.477884
45,6,21.483256
48,3,21.486878
33,18,21.505907
50,1,21.507911
42,9,21.520137
27,24,21.548212
45,6,21.556841
41,10,21.567671
38,13,21.581419
48,3,21.585335
44,7,21.599894
50,1,21.601993
45,6,21.611066
49,2,21.614421
46,5,21.638633
46,5,21.644108
48,3,21.647761
43,8,21.658014
47,4,21.662948
37,14,21.674402
43,8,21.682369
41,10,21.695129
44,7,21.703435
46,5,21.71024
50,1,21.712249
49,2,21.715902
45,6,21.725619
43,8,21.739178
46,5,21.744967
43,8,21.755136
42,9,21.765798
30,21,21.787873
48,3,21.809291
49,2,21.811482
44,7,21.818926
46,5,21.825027
47,4,21.82972
41,10,21.840446
47,4,21.845742
50,1,21.847613
39,12,21.861431
39,12,21.881034
49,2,21.884257
45,6,21.889737
37,14,21.90287
38,13,21.917238
48,3,21.921608
40,11,21.933173
45,6,21.940958
45,6,21.948803
43,8,21.98029
50,1,21.982088
41,10,21.991324
45,6,21.998053
44,7,22.006909
47,4,22.017658
48,3,22.020604
48,3,22.023434
45,6,22.029269
44,7,22.036896
47,4,22.041965
46,5,22.048177
46,5,22.054661
45,6,22.062867
45,6,22.068772
